종목코드=기업코드,법인명=종목명=기업명,지정구분,지정업종(목표)/계획업종(할당),업종명,온실가스 배출량(tCO₂eq),에너지 사용량(TJ),시장구분,시가총액,ESG등급,환경,사회,지배구조,비고
,남강제지(주),사업장,"펄프, 종이 및 판지 제조업",,"25,510",223,,,,,,,
001260,남광토건,,,건설,,,KOSPI,,D,D,D,D,
008350,남선알미늄,,,금속,,,KOSPI,,D,C,D,D,
004270,남성,,,유통,,,KOSPI,,D,D,D,D,
,남성버스,사업장,교통(여객),,"15,804",297,,,,,,,
,남양금속주식회사,사업장,"구조용 금속제품, 탱크 및 증기발생기 제조업",,"97,314","1,811",,,,,,,
003920,남양유업,사업장,낙농제품 및 식용 빙과류 제조업,음식료·담배,"80,101","1,864",KOSPI,3.006E+11,B,A,A+,C,
,남양주시,업체,폐기물,,"78,397","1,065",,,,,,,
,남해고속,사업장,교통(해운),,"23,741",338,,,,,,,
025860,남해화학,사업장,"비료, 농약 및 살균ㆍ살충제 제조업",화학,"65,183",965,KOSPI,3.30861E+11,C,C,D,C,
,남해환경,사업장,폐기물 처리업,,"27,986",178,,,,,,,
,내포그린에너지(주),사업장,"증기, 냉ㆍ온수 및 공기 조절 공급업",,"1,033,275","20,617",,,,,,,
212560,네오오토,사업장,자동차,운송장비·부품,"16,901",350,KOSDAQ,1.04538E+11,,,,,
095660,네오위즈,,,IT 서비스,,,KOSDAQ,,C,D,D,B+,
007390,네이처셀,,,제약,,,KOSDAQ,,D,C,D,D,
,네이처이앤티(주),업체,폐기물 처리업,,"198,107",438,,,,,,,
,네이처이앤티경주,사업장,지정외 폐기물처리업 등,,"30,830",5,,,,,,,
033640,네패스,사업장,반도체,전기·전자,"15,802",326,KOSDAQ,3.59724E+11,C,B,B+,D,
,네패스라웨,사업장,반도체,,"6,237",129,,,,,,,
005720,넥센,사업장,석유화학,화학,"17,306",357,KOSPI,3.24477E+11,B+,B+,A,B,
002350,넥센타이어,업체,고무제품 제조업,화학,"221,463","4,447",KOSPI,7.35439E+11,B,A,A+,C,
348210,넥스틴,,,기계·장비,,,KOSDAQ,,C,B,B,D,
225570,넥슨게임즈,,,IT 서비스,,,KOSDAQ,,D,D,D,C,
217270,넵튠,,,IT 서비스,,,KOSDAQ,,C,D,C,B,
251270,넷마블,,,IT 서비스,,,KOSPI,,A,B+,A+,A,
090350,노루페인트,,,화학,,,KOSPI,,A,A,A+,B+,
000320,노루홀딩스,,,기타금융,,,KOSPI,,A,A,A+,B+,
,노벨리스코리아 주식회사,업체,1차 비철금속 제조업,,"294,783","5,978",,,,,,,
,노을그린에너지 주식회사,사업장,전기업,,"76,387",15,,,,,,,
,녹수,사업장,석유화학,,"28,682",581,,,,,,,
006280,녹십자,사업장,의약품 제조업,제약,"64,761","1,650",KOSPI,1.85816E+12,B+,A,A+,B,
005250,녹십자홀딩스,,,일반서비스,,,KOSPI,,A,A,A+,B+,
,논산시,사업장,폐기물,,"21,911",85,,,,,,,
004370,농심,업체,기타 식품 제조업,음식료·담배,"189,047","3,771",KOSPI,2.63074E+12,B,A,B+,C,
072710,농심홀딩스,,,기타금융,,,KOSPI,,B,B+,B+,B,
839683,농협금융지주,,,,,,,,등급없음,등급없음,등급없음,A,
,농협물류,사업장,도로 화물 운송업,,"29,600",433,,,,,,,
,농협사료,업체,식료품 제조업,,"87,275","1,791",,,,,,,
839723,농협생명보험,,,,,,,,등급없음,등급없음,등급없음,A,
839742,농협은행,업체,건물,,"91,650","1,386",,,등급없음,등급없음,등급없음,A,
,뉴그린,업체,폐기물 처리업,,"104,518",242,,,,,,,
,능원금속공업 주식회사,사업장,1차 비철금속 제조업,,"23,499",483,,,,,,,
,다나에너지솔루션,사업장,폐기물 처리업,,"58,590",222,,,,,,,
058730,다스코,,,금속,,,KOSPI,,C,C,D,B,
030210,다올투자증권,,,증권,,,KOSPI,,B+,A,A,B+,
023590,다우기술,,,IT 서비스,,,KOSPI,,A,A,A+,B+,
032190,다우데이타,,,유통,,,KOSDAQ,,D,D,C,D,
068240,다원시스,,,전기·전자,,,KOSDAQ,,D,D,D,D,
145210,다이나믹디자인,,,기계·장비,,,KOSPI,,D,C,D,D,
,단일가스켐(주),사업장,석유화학,,"43,395",885,,,,,,,
,담우물산(주),사업장,"시멘트, 석회, 플라스터 및 그 외 제품 제조업",,"63,424",203,,,,,,,
019680,대교,,,일반서비스,,,KOSPI,,B,D,B+,B+,
,대구광역시,업체,폐기물 처리업,,"474,138","4,905",,,,,,,
,대구교통공사,사업장,육상 여객 운송업,,"98,437","2,053",,,,,,,
,대구그린파워(주),업체,"증기, 냉ㆍ온수 및 공기 조절 공급업",,"661,138","13,158",,,,,,,
006370,대구백화점,,,유통,,,KOSPI,,C,D,C,B,
,대구염색산업단지관리공단,업체,"증기, 냉ㆍ온수 및 공기 조절 공급업",,"620,336","7,033",,,,,,,
,대구텍 유한책임회사,사업장,1차 비철금속 제조업,,*****,*****,,,,,,,비공개 결정
,대농,사업장,섬유,,"3,811",79,,,,,,,
008060,대덕,,,기타금융,,,KOSPI,,B+,B+,A,B,
353200,대덕전자,사업장,전자 부품 제조업,전기·전자,"136,647","2,848",KOSPI,2.32754E+12,B+,B+,A,B,
000490,대동,,,기계·장비,,,KOSPI,,B+,B+,A+,B,
020400,대동금속(주),사업장,금속 주조업,금속,"31,710",609,KOSDAQ,18178246200,,,,,
,대동산업주식회사,사업장,"내화, 비내화 요업제품 제조업",,"19,056",306,,,,,,,
,대동세라믹,사업장,"내화, 비내화 요업제품 제조업",,"36,887",677,,,,,,,
008110,대동전자,,,전기·전자,,,KOSPI,,D,D,D,D,
,대륜발전,업체,"증기, 냉ㆍ온수 및 공기 조절 공급업",,"658,637","13,051",,,,,,,
005750,대림바스,,,비금속,,,KOSPI,,C,C,C,C,
017650,대림제지,사업장,"펄프, 종이 및 판지 제조업",종이·목재,"109,561","1,675",KOSDAQ,71070650000,,,,,
006570,대림통상,,,금속,,,KOSPI,,D,C,C,D,
001680,대상,업체,"곡물 가공품, 전분 및 전분제품 제조업",음식료·담배,"430,747","10,078",KOSPI,7.29341E+11,A,A,A+,B+,
084690,대상홀딩스,,,기타금융,,,KOSPI,,B,A,A+,C,
128820,대성산업,,,유통,,,KOSPI,,C,C,B,D,
117580,대성에너지,,,전기·가스,,,KOSPI,,B,B+,A,C,
,대성엠디아이(주),사업장,"시멘트, 석회, 플라스터 및 그 외 제품 제조업",,"164,740",822,,,,,,,
,대성지엠텍(주),업체,"시멘트, 석회, 플라스터 및 그 외 제품 제조업",,"112,249",293,,,,,,,
016710,대성홀딩스,,,일반서비스,,,KOSPI,,C,B+,A,D,
,대신정기화물자동차(주),사업장,도로 화물 운송업,,"46,233",658,,,,,,,
003540,대신증권,,,증권,,,KOSPI,,B+,B+,A,B+,
009190,대양금속,사업장,기계,금속,"19,950",395,KOSPI,55977642000,D,C,C,D,
,대양제지공업(주),업체,"펄프, 종이 및 판지 제조업",,"72,126",844,,,,,,,
014160,대영포장,,,종이·목재,,,KOSPI,,D,D,D,D,
,대용산업,사업장,기계,,"16,021",330,,,,,,,
047040,대우건설,업체,건설,건설,"61,064","1,259",KOSPI,1.58768E+12,A,A,B+,A,
,대욱케스트,사업장,철강,,"15,522",289,,,,,,,
003090,대웅,,,제약,,,KOSPI,,B+,B+,A,B,
069620,대웅제약,사업장,석유화학,제약,"20,586",424,KOSPI,1.99637E+12,B,B+,A,C,
000430,대원강업,사업장,자동차 신품 부품 제조업,운송장비·부품,"48,056",972,KOSPI,2.3963E+11,B+,B+,A,B+,
,대원고속,업체,육상 여객 운송업,,"117,728","1,920",,,,,,,
,대원농산,사업장,폐기물,,"20,027",127,,,,,,,
,대원버스,사업장,육상 여객 운송업,,"33,811",583,,,,,,,
,대원알텍 주식회사,사업장,자동차 신품 부품 제조업,,"36,825",753,,,,,,,"""주식회사 대유글로벌"" 업체명 변경"
,대원여객,사업장,교통(여객),,"16,290",313,,,,,,,
,대원운수,사업장,육상 여객 운송업,,"35,606",596,,,,,,,
006340,대원전선,,,전기·전자,,,KOSPI,,D,C,D,D,
003220,대원제약,,,제약,,,KOSPI,,B+,B+,A,B+,
024890,대원화성,사업장,석유화학,화학,"9,140",163,KOSPI,29905635200,D,C,D,D,
,대유코아,사업장,"시멘트, 석회, 플라스터 및 그 외 제품 제조업",,"96,217",736,,,,,,,
,대일개발 주식회사,사업장,폐기물 처리업,,"55,847",155,,,,,,,
,대전광역시,업체,폐기물 처리업,,"362,486","3,059",,,,,,,
,대전교통공사,사업장,교통(철도),,"19,440",396,,,,,,,
,대전신세계,사업장,건물,,"21,912",454,,,,,,,
,대전열병합발전주식회사,업체,"증기, 냉ㆍ온수 및 공기 조절 공급업",,"133,814","2,718",,,,,,,
,대전충남양돈농협 포크빌축산물공판장,사업장,식료품 제조업,,"15,999",329,,,,,,,
078600,대주전자재료,,,전기·전자,,,KOSDAQ,,B+,B,A,B,
012800,대창,사업장,1차 비철금속 제조업,금속,"30,155",617,KOSPI,1.16478E+11,D,C,D,D,
015230,대창단조,사업장,기계,운송장비·부품,"9,015",186,KOSPI,1.80291E+11,C,C,D,C,
,대창운수(주),사업장,육상 여객 운송업,,"22,580",423,,,,,,,
,대천텍스타일,사업장,섬유,,"15,547",233,,,,,,,
010170,대한광통신 주식회사,사업장,전기전자,전기·전자,"7,941",163,KOSDAQ,2.93668E+11,,,,,
001070,대한방직,사업장,"섬유제품 염색, 정리 및 마무리 가공업",섬유·의류,"28,193",442,KOSPI,34026000000,C,C,D,C,
,대한사료(주),사업장,식료품 제조업,,"11,356",232,,,,,,,
,대한석탄공사,업체,석탄 광업,,"61,027",558,,,,,,,
,대한세라믹스,사업장,"내화, 비내화 요업제품 제조업",,"33,095",601,,,,,,,
,대한소결금속(주),사업장,자동차,,"19,361",395,,,,,,,
,대한슬래그 주식회사,사업장,기타 비금속 광물제품 제조업,,"29,988",543,,,,,,,
,대한시멘트주식회사,사업장,"시멘트, 석회, 플라스터 및 그 외 제품 제조업",,"55,732","1,013",,,,,,,
,대한약품공업(주),사업장,석유화학,,"26,254",443,,,,,,,
006650,대한유화,업체,기초 화학물질 제조업,화학,"1,697,905","34,203",KOSPI,9.412E+11,B+,B+,B+,B,
001440,대한전선,사업장,절연선 및 케이블 제조업,전기·전자,"48,101",968,KOSPI,4.26964E+12,A,A,A+,B+,
084010,대한제강,업체,1차 철강 제조업,금속,"298,667","5,419",KOSPI,4.4156E+11,C,C,C,C,
001790,대한제당,사업장,기타 식품 제조업,음식료·담배,"63,721","1,272",KOSPI,2.53393E+11,C,C,D,C,
001130,대한제분,사업장,식료품 제조업,음식료·담배,"21,785",454,KOSPI,2.46909E+11,C,C,C,C,
,대한제지주식회사,업체,"펄프, 종이 및 판지 제조업",,"201,421","2,391",,,,,,,
439260,대한조선주식회사,사업장,선박 및 보트 건조업,운송장비·부품,"67,444","1,064",KOSPI,2.58126E+12,,,,,
003490,대한항공,업체,항공 여객 운송업,운송·창고,"425,062","6,505",KOSPI,8.30338E+12,B+,B+,A,B+,
005880,대한해운,,,운송·창고,,,KOSPI,,D,C,D,D,
003830,대한화섬,사업장,화학섬유 제조업,화학,"47,098","1,033",KOSPI,1.55642E+11,B+,B,A,B+,
016090,대현,,,섬유·의류,,,KOSPI,,C,D,D,B+,
069460,대호에이엘,사업장,1차 비철금속 제조업,금속,"26,366",529,KOSPI,1.21901E+11,D,C,C,D,
021040,대호특수강,사업장,철강,금속,"40,263",806,KOSDAQ,28563482584,,,,,
298540,더네이쳐홀딩스,,,섬유·의류,,,KOSDAQ,,D,D,D,D,
192080,더블유게임즈,,,IT 서비스,,,KOSPI,,C,D,D,B+,
,더블유스코프코리아(주),사업장,석유화학,,"22,707",900,,,,,,,
393890,더블유씨피,사업장,플라스틱 제품 제조업,전기·전자,"96,802","2,086",KOSDAQ,2.11181E+11,D,C,C,D,
,더블유티씨서울,사업장,부동산 임대 및 공급업,,"58,002","1,195",,,,,,,
012510,더존비즈온,,,IT 서비스,,,KOSPI,,C,C,D,C,
213420,덕산네오룩스,,,전기·전자,,,KOSDAQ,,D,C,D,D,
004830,덕성,,,화학,,,KOSPI,,C,C,D,C,
,덕양에너젠,업체,기초 화학물질 제조업,,"32,041",662,,,,,,,
194480,데브시스터즈,,,IT 서비스,,,KOSDAQ,,C,D,D,B,
145720,덴티움,,,의료·정밀기기,,,KOSPI,,D,D,D,D,
,도레이배터리세퍼레이터필름 한국유한회사,사업장,일차전지 및 축전지 제조업,,"101,441","2,071",,,,,,,
,도레이비에스에프코팅한국 유한회사,사업장,일차전지 및 축전지 제조업,,"86,241",458,,,,,,,
,도레이첨단소재 주식회사,업체,합성고무 및 플라스틱 물질 제조업,,"602,557","12,138",,,,,,,
,도명특송(주),사업장,도로 화물 운송업,,"20,832",296,,,,,,,
002150,도화엔지니어링,,,일반서비스,,,KOSPI,,C,C,C,B,
,동광화학,사업장,석유화학,,"25,455",527,,,,,,,
005160,동국산업(주),사업장,1차 철강 제조업,금속,"41,354",840,KOSDAQ,1.48087E+11,,,,,
460850,동국씨엠 주식회사,업체,1차 철강 제조업,금속,"287,890","6,267",KOSPI,1.59061E+11,,,,,
460860,동국제강 주식회사,업체,1차 철강 제조업,금속,"1,297,673","22,387",KOSPI,4.0877E+11,,,,,
086450,동국제약,,,제약,,,KOSDAQ,,C,B+,A,D,
001230,동국홀딩스,업체,부동산 임대 및 공급업,기타금융,762,14,KOSPI,2.36914E+11,A,B+,A+,B+,
,동남,사업장,1차 비철금속 제조업,,"53,758",837,,,,,,,
023450,동남합성,,,화학,,,KOSPI,,D,D,D,C,
,동두천드림파워,업체,전기업,,"2,843,691","56,502",,,,,,,
004140,동방,사업장,도로 화물 운송업,운송·창고,"57,667",842,KOSPI,1.22568E+11,C,B,B,C,
007590,동방아그로,,,화학,,,KOSPI,,C,D,D,B,
005960,동부건설,,,건설,,,KOSPI,,B+,B+,B+,B,
,동부고속,사업장,교통(여객),,"21,853",321,,,,,,,
026960,동서,,,유통,,,KOSPI,,C,C,C,C,
,동서기공,사업장,자동차 신품 부품 제조업,,"50,632","1,045",,,,,,,
,동서석유화학 주식회사,업체,기초 화학물질 제조업,,"334,298","1,953",,,,,,,
,동서식품(주),사업장,기타 식품 제조업,,"119,966","2,604",,,,,,,
,동서페더럴모굴(주),사업장,자동차,,"18,570",377,,,,,,,
,동성교통(주),사업장,교통(여객),,"14,904",282,,,,,,,
002210,동성제약,,,제약,,,KOSPI,,D,D,D,D,
102260,동성케미컬,사업장,기초 화학물질 제조업,화학,"27,046",535,KOSPI,2.13251E+11,A,A,A+,A,
,동성화물자동차(주),사업장,교통(화물),,"13,798",196,,,,,,,
,동성화학공업(주),사업장,석유화학,,"11,609",237,,,,,,,
,동신포리마,사업장,플라스틱 제품 제조업,,"37,349",765,,,,,,,
,동아,사업장,기계,,"17,198",356,,,,,,,
000640,동아쏘시오홀딩스,,,기타금융,,,KOSPI,,A+,A,A+,A+,
170900,동아에스티,,,제약,,,KOSPI,,A,A,A+,A,
,동아운수(주),사업장,교통(여객),,"15,685",297,,,,,,,
028100,동아지질,,,건설,,,KOSPI,,D,C,C,D,
282690,동아타이어,,,,,,,,D,D,D,D,
001520,동양,,,비금속,,,KOSPI,,C,B,B,C,
084670,동양고속,사업장,육상 여객 운송업,운송·창고,"53,374",762,KOSPI,2.11956E+11,D,C,D,D,
,동양산업(주),사업장,자동차,,"14,751",307,,,,,,,
082640,동양생명,,,보험,,,KOSPI,,B+,C,B+,B+,
008970,동양철관,,,금속,,,KOSPI,,D,C,D,D,
092780,동양피스톤,사업장,자동차 신품 부품 제조업,운송장비·부품,"26,919",554,KOSPI,,C,C,C,C,
,동양환경,업체,폐기물 처리업,,"239,750",664,,,,,,,
088910,동우팜투테이블,사업장,식료품 제조업,음식료·담배,"14,515",292,KOSDAQ,53730069120,,,,,
,동우화인켐주식회사,업체,사진장비 및 광학 기기 제조업,,"330,980","5,266",,,,,,,
049770,동원F&B,업체,식료품 제조업,,"84,156","1,832",,,B,A,A,C,
018500,동원금속,,,운송장비·부품,,,KOSPI,,C,B,D,B,
,동원로엑스(주),사업장,도로 화물 운송업,,"55,333",900,,,,,,,
006040,동원산업,사업장,수산,기타금융,"6,769",99,KOSPI,1.8498E+12,B,A,A,C,
030720,동원수산,,,"농업, 임업 및 어업",,,KOSPI,,D,D,D,D,
014820,동원시스템즈,업체,유리 및 유리제품 제조업,화학,"264,278","4,458",KOSPI,7.26232E+11,B+,B+,A+,B,
,동원페이퍼(주),사업장,"펄프, 종이 및 판지 제조업",,"105,488","1,508",,,,,,,
,동은단조(주),사업장,자동차,,"34,576",717,,,,,,,
163560,동일고무벨트,,,화학,,,KOSPI,,B+,B+,A,B+,
004890,동일산업,업체,1차 철강 제조업,금속,"231,725","2,822",KOSPI,95068428000,C,C,D,B+,
002690,동일제강,사업장,철강,금속,"18,515",347,KOSPI,33089586800,D,C,D,D,
,동일팩키지(주),사업장,"펄프, 종이 및 판지 제조업",,"47,189",409,,,,,,,
005290,동진쎄미켐,사업장,석유화학,화학,"27,662",567,KOSDAQ,1.88434E+12,B,A,A,C,
,동해시,사업장,폐기물,,"18,802",8,,,,,,,
,동호칼슘(주),사업장,석유화학,,"18,229",284,,,,,,,
025900,동화기업,사업장,나무제품 제조업,종이·목재,"138,621","2,700",KOSDAQ,4.2822E+11,D,D,C,D,
000020,동화약품,,,제약,,,KOSPI,,C,B,B,C,
,동화지앤피 주식회사,사업장,유리,,"22,290",343,,,,,,,
,동희오토(주),사업장,자동차용 엔진 및 자동차 제조업,,"40,971",827,,,,,,,
000150,두산,업체,전기전자,기타금융,"55,371","1,102",KOSPI,1.26474E+13,A,A,A+,B+,
241560,두산밥캣,,,기계·장비,,,KOSPI,,A,B+,A,A,
034020,두산에너빌리티,업체,1차 철강 제조업,기계·장비,"235,252","4,498",KOSPI,4.82343E+13,B+,A,A,B,
131970,두산테스나,사업장,반도체,일반서비스,"58,757","1,227",KOSDAQ,1.02821E+12,B+,B+,A,B+,
336260,두산퓨얼셀,,,전기·전자,,,KOSPI,,A,A,A+,B+,
016740,두올,,,운송장비·부품,,,KOSPI,,D,D,C,C,
,두원중공업(주),사업장,일반 목적용 기계 제조업,,"23,166",497,,,,,,,
060570,드림어스컴퍼니,,,오락·문화,,,KOSDAQ,,C,C,C,C,
192650,드림텍,,,전기·전자,,,KOSPI,,C,C,D,B,
,디비메탈,업체,1차 철강 제조업,,"180,424","2,130",,,,,,,
024090,디씨엠,,,금속,,,KOSPI,,C,D,D,B+,
003160,디아이,,,의료·정밀기기,,,KOSPI,,D,C,C,D,
001530,디아이동일,사업장,비철금속,유통,"19,058",396,KOSPI,,D,D,D,C,
092200,디아이씨,,,운송장비·부품,,,KOSPI,,C,C,B,D,
,디아이지에어가스 주식회사,업체,기초 화학물질 제조업,,"844,157","17,586",,,,,,,
,디알액시온,사업장,비철금속,,"11,424",233,,,,,,,
,디앤오,사업장,건물,,"16,937",346,,,,,,,
376300,디어유,,,IT 서비스,,,KOSDAQ,,D,D,D,D,
,디에스단석,사업장,1차 비철금속 제조업,,"86,023","1,599",,,,,,,
,디에스파워 주식회사,업체,"증기, 냉ㆍ온수 및 공기 조절 공급업",,"994,942","19,769",,,,,,,
066900,디에이피,사업장,전자 부품 제조업,전기·전자,"77,814","1,613",KOSDAQ,42918877161,,,,,
,디엘건설(주),사업장,건설,,"28,938",525,,,,,,,
,디엘모터스(주),사업장,자동차 신품 부품 제조업,,"50,711","1,040",,,,,,,
,디엘에프엔씨 주식회사,사업장,플라스틱 제품 제조업,,"22,822",472,,,,,,,
,디엘케미칼 주식회사,업체,합성고무 및 플라스틱 물질 제조업,,"236,065","4,532",,,,,,,
013570,디와이,,,기타금융,,,KOSPI,,C,D,D,B,
024900,디와이덕양,,,운송장비·부품,,,KOSPI,,D,D,D,D,
210540,디와이파워,,,기계·장비,,,KOSPI,,C,C,D,B+,
,디케이동신(주),사업장,1차 철강 제조업,,"27,447",508,,,,,,,
,디케이씨,사업장,철강,,"17,114",344,,,,,,,
885673,라이나생명보험,,,,,,,,등급없음,등급없음,등급없음,B,
115390,락앤락,,,,,,,,B+,A,A,B,
281740,레이크머티리얼즈,,,화학,,,KOSDAQ,,C,C,D,C,
277810,레인보우로보틱스,,,기계·장비,,,KOSDAQ,,D,D,D,D,
090360,로보스타,,,기계·장비,,,KOSDAQ,,D,D,D,C,
,로옴코리아,사업장,반도체,,"14,770",308,,,,,,,
,롯데건설(주),업체,건설,,"52,420","1,031",,,,,,,
032350,롯데관광개발,사업장,일반 및 생활 숙박시설 운영업,일반서비스,"32,367",666,KOSPI,1.84929E+12,D,D,D,D,
,롯데글로벌로지스(주),사업장,도로 화물 운송업,,"60,296","1,166",,,,,,,
,롯데네슬레코리아(주),사업장,기타 식품 제조업,,"29,848",617,,,,,,,
089860,롯데렌탈,,,일반서비스,,,KOSPI,,A,A,A,A,
,롯데물산(주),사업장,부동산 임대 및 공급업,,"40,273",773,,,,,,,
,롯데베르살리스엘라스토머스(주),사업장,합성고무 및 플라스틱 물질 제조업,,"143,286","2,715",,,,,,,
000400,롯데손해보험,,,보험,,,KOSPI,,B+,C,A,B+,
023530,롯데쇼핑,업체,종합 소매업,유통,"717,398","14,600",KOSPI,2.05093E+12,A,A,A+,A,
020150,롯데에너지머티리얼즈,사업장,전자 부품 제조업,전기·전자,"98,944","2,153",KOSPI,1.59976E+12,C,B,B+,C,
,롯데엠시시 주식회사,업체,기초 화학물질 제조업,,"285,111","2,777",,,,,,,
280360,롯데웰푸드,업체,기타 식품 제조업,음식료·담배,"206,189","4,235",KOSPI,1.0663E+12,A,A,A,A,
,롯데이네오스화학 주식회사,업체,기초 화학물질 제조업,,"250,209","3,472",,,,,,,
286940,롯데이노베이트,사업장,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",IT 서비스,"120,487","2,514",KOSPI,2.92905E+11,A,A,A+,A,
004000,롯데정밀화학,업체,기초 화학물질 제조업,화학,"677,663","15,626",KOSPI,1.14939E+12,A,A,A+,A,
,롯데지에스화학주식회사,사업장,석유화학,,"126,466","1,959",,,,,,,
004990,롯데지주,,,기타금융,,,KOSPI,,A,A,A+,A,
005300,롯데칠성음료,업체,비알코올 음료 및 얼음 제조업,음식료·담배,"155,782","2,923",KOSPI,,A,A+,A+,B+,
854231,롯데카드,,,,,,,,등급없음,등급없음,등급없음,A,
855981,롯데캐피탈,,,,,,,,등급없음,등급없음,등급없음,B,
,롯데컬처웍스 주식회사,업체,건물,,"49,958","1,000",,,,,,,
011170,롯데케미칼,업체,기초 화학물질 제조업,화학,"5,902,878","113,070",KOSPI,3.00711E+12,A,A,A+,B+,
,롯데패키징솔루션즈 주식회사,업체,기계,,"54,112","1,034",,,,,,,
071840,롯데하이마트,,,유통,,,KOSPI,,A,A,A+,A,
328130,루닛,,,IT 서비스,,,KOSDAQ,,B,C,B+,B,
,르노코리아 주식회사,사업장,자동차용 엔진 및 자동차 제조업,,"65,292","1,369",,,,,,,
141080,리가켐바이오,,,일반서비스,,,KOSDAQ,,B+,B,A,B,
058470,리노공업,,,전기·전자,,,KOSDAQ,,D,C,D,D,
,리뉴랜드경주 주식회사,업체,폐기물 처리업,,"111,733",31,,,,,,,
,리뉴에너지경기 주식회사,사업장,폐기물 처리업,,"56,518",90,,,,,,,
,리뉴에너지경북 주식회사,사업장,폐기물 처리업,,"70,426",205,,,,,,,
,리뉴에너지경인 주식회사,사업장,폐기물 처리업,,"51,427",12,,,,,,,
,리뉴에너지그린 주식회사,사업장,폐기물 처리업,,"53,590",40,,,,,,,
,리뉴에너지대원 주식회사,사업장,폐기물 처리업,,"67,197",378,,,,,,,
,리뉴에너지새한 주식회사,사업장,폐기물 처리업,,"82,836",135,,,,,,,
,리뉴에너지충북(주),업체,폐기물 처리업,,"191,548",211,,,,,,,
,리뉴에너지충청(주),사업장,폐기물 처리업,,"58,486",126,,,,,,,
073570,리튬포어스,,,기타제조,,,KOSDAQ,,D,D,D,D,
,린데코리아 주식회사,업체,기초 화학물질 제조업,,"938,587","18,818",,,,,,,
027740,마니커,,,음식료·담배,,,KOSPI,,D,D,D,C,
,마이크로소프트5673코리아 유한책임회사,사업장,"자료 처리, 호스팅, 포털 및 기타 인터넷 정보 매개 서비스업",,"62,662","1,309",,,,,,,
001080,만호제강,사업장,1차 철강 제조업,금속,"34,404",700,KOSPI,1.81355E+11,D,C,D,D,
,매그나칩반도체(유),업체,반도체 제조업,,"82,292","1,394",,,,,,,
267980,매일유업,사업장,낙농제품 및 식용 빙과류 제조업,음식료·담배,"110,178","2,196",KOSDAQ,2.6976E+11,A,A,A+,A,
067280,멀티캠퍼스,,,일반서비스,,,KOSDAQ,,D,D,D,C,
215200,메가스터디교육,,,일반서비스,,,KOSDAQ,,D,D,D,D,
086900,메디톡스,사업장,석유화학,제약,"16,584",340,KOSDAQ,8.81658E+11,B,B+,B+,C,
138040,메리츠금융지주,,,기타금융,,,KOSPI,,A,A,A,A,
008560,메리츠증권,,,,,,,,등급없음,등급없음,등급없음,B,
867865,메리츠캐피탈,,,,,,,,등급없음,등급없음,등급없음,B+,
000060,메리츠화재해상보험,,,,,,,,등급없음,등급없음,등급없음,B+,
021880,메이슨캐피탈,,,금융,,,KOSDAQ,,D,D,D,D,
140410,메지온,,,일반서비스,,,KOSDAQ,,D,D,D,D,
090370,메타랩스,,,섬유·의류,,,KOSPI,,D,D,D,D,
,메타즈,사업장,기계,,"9,327",192,,,,,,,
118000,메타케어,,,유통,,,KOSPI,,D,D,D,D,
832969,메트라이프생명보험,,,,,,,,등급없음,등급없음,등급없음,B,
,면사랑,사업장,식료품 제조업,,"29,600",571,,,,,,,
017180,명문제약,,,제약,,,KOSPI,,D,D,D,C,
,명성,사업장,육상 여객 운송업,,"23,450",406,,,,,,,
,명성환경,사업장,폐기물 처리업,,38,116,,,,,,,
009900,명신산업,,,운송장비·부품,,,KOSPI,,C,C,C,C,
,명화공업(주),사업장,자동차 신품 부품 제조업,,"39,957",817,,,,,,,
012690,모나리자,사업장,"펄프, 종이 및 판지 제조업",종이·목재,"41,925",781,KOSPI,77896773150,A,A,A+,A,
005360,모나미,,,유통,,,KOSPI,,D,D,C,D,
070960,모나용평,사업장,일반 및 생활 숙박시설 운영업,일반서비스,"34,759",693,KOSPI,1.59081E+11,D,C,D,D,
417970,모델솔루션,,,기계·장비,,,KOSDAQ,,C,D,D,B,
080160,모두투어,,,일반서비스,,,KOSDAQ,,C,D,D,B+,
009680,모토닉,,,운송장비·부품,,,KOSPI,,C,C,C,B,
118990,모트렉스,,,운송장비·부품,,,KOSDAQ,,D,C,D,D,
,목포시,사업장,폐기물 처리업,,"57,706",375,,,,,,,
009580,무림P&P,,,종이·목재,,,KOSPI,,A,A,A,B+,
,무림에스피(주),사업장,"펄프, 종이 및 판지 제조업",,"47,064",950,,,,,,,
,무림파워텍 주식회사,업체,"증기, 냉ㆍ온수 및 공기 조절 공급업",,"164,636","2,228",,,,,,,
009200,무림페이퍼,업체,"펄프, 종이 및 판지 제조업",종이·목재,"179,950","3,523",KOSPI,83634713100,B+,A,B+,B+,
,무림피앤피(주),업체,"펄프, 종이 및 판지 제조업",,"252,175","13,867",,,,,,,
,무안군,사업장,폐기물,,"17,472",110,,,,,,,
,무주덕유산리조트,사업장,건물,,"17,943",331,,,,,,,
033920,무학,,,음식료·담배,,,KOSPI,,D,C,D,D,
008420,문배철강,,,금속,,,KOSPI,,D,D,C,C,
,문화방송,사업장,건물,,"15,957",349,,,,,,,
095500,미래나노텍,사업장,전기전자,화학,"32,578",572,KOSDAQ,3.14131E+11,C,C,B,D,
025560,미래산업,,,의료·정밀기기,,,KOSPI,,D,D,D,D,
