종목코드,법인명,지정구분,업종명,온실가스 배출량(tCO₂eq),에너지 사용량(TJ),ESG등급,환경,사회,지배구조
061970,LB세미콘,사업장,반도체 제조업,"48,250","1,442",C,B+,A,D
00None,LX엠엠에이,업체,기초 화학물질 제조업,"327,127","2,974",,,,
00None,NC양산,사업장,폐기물 처리업,"32,957",24,,,,
00None,NC울산,사업장,폐기물 처리업,"71,888",40,,,,
00None,OCISE,업체,"증기, 냉ㆍ온수 및 공기 조절 공급업","1,290,550","23,775",,,,
010950,S-OIL,업체,석유 정제품 제조업,"9,632,037","127,577",A,B+,A,A
00None,SKBROADBAND,업체,전기 통신업,"455,962","9,485",,,,
096770,SK이노베이션,업체,일차전지 및 축전지 제조업,"2,364,006","47,046",A+,A,A+,A+
00None,SK인천석유화학,업체,석유 정제품 제조업,"1,538,765","45,185",,,,
00None,Y&T파워텍,사업장,자동차,"19,258",401,,,,
00None,토탈,사업장,폐기물 처리업,"64,339",70,,,,
000500,가온전선,사업장,전기전자,"8,572",175,B,A,A,C
00None,강남금융센터,사업장,건물,"17,358",358,,,,
00None,강남화성,사업장,석유화학,"19,455",314,,,,
00None,강릉시,사업장,폐기물 처리업,"107,713",764,,,,
00None,강릉에코파워,업체,발전에너지,"2,627,471","32,364",,,,
00None,강변테크노마트,사업장,건물,"13,404",278,,,,
00None,강원고속,사업장,육상 여객 운송업,"16,788",239,,,,
00None,강원대학교,사업장,건물,"19,897",411,,,,
00None,거제시,사업장,폐기물 처리업,"60,696",487,,,,
00None,경기그린에너지,업체,전기업,"118,443",0,,,,
00None,경기도광주시,업체,수도업,"59,846",999,,,,
00None,경북대학교,사업장,고등 교육기관,"41,113",864,,,,
00None,경북대학교병원,사업장,건물,"20,752",426,,,,
00None,경산시,사업장,폐기물 처리업,"74,974",800,,,,
00None,경산제지,사업장,"펄프, 종이 및 판지 제조업","107,106",909,,,,
00None,경상국립대학교,사업장,건물,"20,967",433,,,,
00None,경상북도,사업장,폐기물 처리업,"71,188",426,,,,
00None,경원여객자동차,사업장,육상 여객 운송업,"15,471",220,,,,
00None,경원여객자동차,사업장,육상 여객 운송업,"31,036",572,,,,
00None,경주시,사업장,폐기물 처리업,"83,421",682,,,,
00None,경진단조,사업장,기계,"14,386",298,,,,
00None,경진여객운수,사업장,육상 여객 운송업,"21,107",373,,,,
024910,경창산업,사업장,자동차,"22,326",465,,,,
00None,고덕그린에너지,사업장,전기업,"28,909",17,,,,
00None,고려강선,사업장,1차 철강 제조업,"57,778","1,210",,,,
00None,고려고속훼리,사업장,해상 운송업,"31,118",447,,,,
00None,고려기초소재,사업장,기타 비금속 광물제품 제조업,"20,080",352,,,,
010130,고려아연,업체,1차 비철금속 제조업,"3,199,180","44,425",B+,B+,A,B+
00None,고려용접봉,사업장,기계,"16,869",347,,,,
002240,고려제강,사업장,1차 철강 제조업,"90,621","1,854",D,C,D,D
00None,고려특수선재,사업장,철강,"22,134",461,,,,
00None,고성그린파워,업체,전기업,"8,875,485","96,161",,,,
00None,고양시,업체,폐기물 처리업,"140,051","1,147",,,,
00None,공주시,사업장,폐기물,"16,080",43,,,,
00None,공항철도,사업장,육상 여객 운송업,"58,108","1,211",,,,
00None,과천시,사업장,폐기물,"14,905",102,,,,
00None,광명시,사업장,폐기물 처리업,"67,729",326,,,,
00None,광양시,사업장,폐기물 처리업,"45,864",195,,,,
00None,광주과학기술원,사업장,건물,"24,365",504,,,,
00None,광주광역시,업체,폐기물 처리업,"174,787","1,635",,,,
00None,광주교통공사,사업장,교통(철도),"19,368",403,,,,
00None,광진산업,사업장,"시멘트, 석회, 플라스터 및 그 외 제품 제조업","78,427",196,,,,
00None,괴산군,사업장,폐기물,"18,411",113,,,,
00None,구리농수산물공사,사업장,건물,"17,502",364,,,,
00None,구리시,사업장,폐기물 처리업,"55,002",544,,,,
00None,구미시,업체,폐기물 처리업,"148,251","1,167",,,,
007690,국도화학,사업장,합성고무 및 플라스틱 물질 제조업,"64,136","2,028",C,C,B,C
00None,국립대학법인서울대학교,업체,고등 교육기관,"150,776","3,108",,,,
00None,국립암센터,사업장,건물,"20,522",435,,,,
00None,국방과학연구소,사업장,건물,"22,491",464,,,,
078130,국일제지,사업장,"펄프, 종이 및 판지 제조업","31,922",714,,,,
00None,국회사무처,사업장,건물,"22,871",480,,,,
00None,군산시,사업장,폐기물 처리업,"107,270",597,,,,
00None,군포시,사업장,폐기물 처리업,"42,825",413,,,,
00None,그린에어,업체,기초 화학물질 제조업,"585,121","12,125",,,,
083420,그린케미칼,사업장,기초 화학물질 제조업,"56,908","1,291",C,C,D,C
014280,금강공업,사업장,비철금속,"13,809",238,D,C,D,D
00None,금진해운,사업장,교통(해운),"15,981",221,,,,
00None,금호고속,업체,육상 여객 운송업,"6,064",126,,,,
00None,금호미쓰이화학,사업장,기초 화학물질 제조업,"170,330","3,037",,,,
011780,금호석유화학,업체,합성고무 및 플라스틱 물질 제조업,"3,308,643","41,348",B+,A,A+,B
00None,금호익스프레스,업체,육상 여객 운송업,"100,236","1,438",,,,
073240,금호타이어,업체,고무제품 제조업,"260,704","5,354",B+,A,B+,B+
00None,금호폴리켐,업체,합성고무 및 플라스틱 물질 제조업,"328,101","5,564",,,,
00None,금호피앤비화학,업체,기초 화학물질 제조업,"803,074","10,919",,,,
000270,기아,업체,자동차용 엔진 및 자동차 제조업,"709,750","14,534",A,A+,A+,B+
00None,기초과학연구원,사업장,건물,"22,733",485,,,,
00None,김천시,사업장,"하수, 폐수 및 분뇨 처리업","43,214",374,,,,
00None,김천에너지서비스,업체,"증기, 냉ㆍ온수 및 공기 조절 공급업","689,186","8,017",,,,
00None,김포시,사업장,폐기물 처리업,"54,659",602,,,,
00None,김포운수,사업장,육상 여객 운송업,"16,961",315,,,,
00None,김해시,사업장,폐기물 처리업,"117,612","1,324",,,,
004540,깨끗한나라,업체,"펄프, 종이 및 판지 제조업","332,386","4,353",B,B,B+,B
00None,나래에너지서비스,업체,"증기, 냉ㆍ온수 및 공기 조절 공급업","1,822,245","36,262",,,,
00None,나투라페이퍼,업체,"펄프, 종이 및 판지 제조업","165,385","1,215",,,,
00None,남강제지,사업장,"펄프, 종이 및 판지 제조업","25,510",223,,,,
00None,남양금속,사업장,"구조용 금속제품, 탱크 및 증기발생기 제조업","97,314","1,811",,,,
003920,남양유업,사업장,낙농제품 및 식용 빙과류 제조업,"80,101","1,864",B,A,A+,C
00None,남양주시,업체,폐기물,"78,397","1,065",,,,
025860,남해화학,사업장,"비료, 농약 및 살균ㆍ살충제 제조업","65,183",965,C,C,D,C
00None,내포그린에너지,사업장,"증기, 냉ㆍ온수 및 공기 조절 공급업","1,033,275","20,617",,,,
00None,네이버,사업장,"자료 처리, 호스팅, 포털 및 기타 인터넷 정보 매개 서비스업","121,187","2,531",,,,
00None,네이처이앤티,업체,폐기물 처리업,"198,107",438,,,,
002350,넥센타이어,업체,고무제품 제조업,"221,463","4,447",B,A,A+,C
00None,노벨리스코리아,업체,1차 비철금속 제조업,"294,783","5,978",,,,
00None,노을그린에너지,사업장,전기업,"76,387",15,,,,
006280,녹십자,사업장,의약품 제조업,"64,761","1,650",B+,A,A+,B
00None,논산시,사업장,폐기물,"21,911",85,,,,
00None,농협은행,업체,건물,"91,650","1,386",,,,
00None,능원금속공업,사업장,1차 비철금속 제조업,"23,499",483,,,,
00None,단일가스켐,사업장,석유화학,"43,395",885,,,,
00None,담우물산,사업장,"시멘트, 석회, 플라스터 및 그 외 제품 제조업","63,424",203,,,,
00None,대구광역시,업체,폐기물 처리업,"474,138","4,905",,,,
00None,대구교통공사,사업장,육상 여객 운송업,"98,437","2,053",,,,
00None,대구그린파워,업체,"증기, 냉ㆍ온수 및 공기 조절 공급업","661,138","13,158",,,,
00None,대구염색산업단지관리공단,업체,"증기, 냉ㆍ온수 및 공기 조절 공급업","620,336","7,033",,,,
353200,대덕전자,사업장,전자 부품 제조업,"136,647","2,848",B+,B+,A,B
020400,대동금속,사업장,금속 주조업,"31,710",609,,,,
00None,대동산업,사업장,"내화, 비내화 요업제품 제조업","19,056",306,,,,
001680,대상,업체,"곡물 가공품, 전분 및 전분제품 제조업","430,747","10,078",A,A,A+,B+
00None,대성엠디아이,사업장,"시멘트, 석회, 플라스터 및 그 외 제품 제조업","164,740",822,,,,
00None,대성지엠텍,업체,"시멘트, 석회, 플라스터 및 그 외 제품 제조업","112,249",293,,,,
00None,대신정기화물자동차,사업장,도로 화물 운송업,"46,233",658,,,,
00None,대양제지공업,업체,"펄프, 종이 및 판지 제조업","72,126",844,,,,
00None,대용산업,사업장,기계,"16,021",330,,,,
000430,대원강업,사업장,자동차 신품 부품 제조업,"48,056",972,B+,B+,A,B+
00None,대원알텍,사업장,자동차 신품 부품 제조업,"36,825",753,,,,
024890,대원화성,사업장,석유화학,"9,140",163,D,C,D,D
00None,대일개발,사업장,폐기물 처리업,"55,847",155,,,,
00None,대전광역시,업체,폐기물 처리업,"362,486","3,059",,,,
00None,대전교통공사,사업장,교통(철도),"19,440",396,,,,
00None,대전열병합발전,업체,"증기, 냉ㆍ온수 및 공기 조절 공급업","133,814","2,718",,,,
00None,대전충남양돈농협포크빌축산물공판장,사업장,식료품 제조업,"15,999",329,,,,
015230,대창단조,사업장,기계,"9,015",186,C,C,D,C
00None,대창운수,사업장,육상 여객 운송업,"22,580",423,,,,
010170,대한광통신,사업장,전기전자,"7,941",163,,,,
001070,대한방직,사업장,"섬유제품 염색, 정리 및 마무리 가공업","28,193",442,C,C,D,C
00None,대한사료,사업장,식료품 제조업,"11,356",232,,,,
00None,대한석탄공사,업체,석탄 광업,"61,027",558,,,,
00None,대한소결금속,사업장,자동차,"19,361",395,,,,
00None,대한슬래그,사업장,기타 비금속 광물제품 제조업,"29,988",543,,,,
00None,대한시멘트,사업장,"시멘트, 석회, 플라스터 및 그 외 제품 제조업","55,732","1,013",,,,
00None,대한약품공업,사업장,석유화학,"26,254",443,,,,
006650,대한유화,업체,기초 화학물질 제조업,"1,697,905","34,203",B+,B+,B+,B
001440,대한전선,사업장,절연선 및 케이블 제조업,"48,101",968,A,A,A+,B+
084010,대한제강,업체,1차 철강 제조업,"298,667","5,419",C,C,C,C
001790,대한제당,사업장,기타 식품 제조업,"63,721","1,272",C,C,D,C
001130,대한제분,사업장,식료품 제조업,"21,785",454,C,C,C,C
00None,대한제지,업체,"펄프, 종이 및 판지 제조업","201,421","2,391",,,,
439260,대한조선,사업장,선박 및 보트 건조업,"67,444","1,064",,,,
003490,대한항공,업체,항공 여객 운송업,"425,062","6,505",B+,B+,A,B+
003830,대한화섬,사업장,화학섬유 제조업,"47,098","1,033",B+,B,A,B+
00None,더블유스코프코리아,사업장,석유화학,"22,707",900,,,,
393890,더블유씨피,사업장,플라스틱 제품 제조업,"96,802","2,086",D,C,C,D
00None,도레이배터리세퍼레이터필름한국유한,사업장,일차전지 및 축전지 제조업,"101,441","2,071",,,,
00None,도레이비에스에프코팅한국유한,사업장,일차전지 및 축전지 제조업,"86,241",458,,,,
00None,도레이첨단소재,업체,합성고무 및 플라스틱 물질 제조업,"602,557","12,138",,,,
00None,도명특송,사업장,도로 화물 운송업,"20,832",296,,,,
005160,동국산업,사업장,1차 철강 제조업,"41,354",840,,,,
460850,동국씨엠,업체,1차 철강 제조업,"287,890","6,267",,,,
460860,동국제강,업체,1차 철강 제조업,"1,297,673","22,387",,,,
001230,동국홀딩스,업체,부동산 임대 및 공급업,762,14,A,B+,A+,B+
00None,동두천드림파워,업체,전기업,"2,843,691","56,502",,,,
00None,동서석유화학,업체,기초 화학물질 제조업,"334,298","1,953",,,,
00None,동서식품,사업장,기타 식품 제조업,"119,966","2,604",,,,
00None,동서페더럴모굴,사업장,자동차,"18,570",377,,,,
00None,동성교통,사업장,교통(여객),"14,904",282,,,,
00None,동성화물자동차,사업장,교통(화물),"13,798",196,,,,
00None,동성화학공업,사업장,석유화학,"11,609",237,,,,
00None,동아운수,사업장,교통(여객),"15,685",297,,,,
00None,동양산업,사업장,자동차,"14,751",307,,,,
00None,동양피스톤,사업장,자동차 신품 부품 제조업,"26,919",554,,,,
00None,동우화인켐,업체,사진장비 및 광학 기기 제조업,"330,980","5,266",,,,
00None,동원로엑스,사업장,도로 화물 운송업,"55,333",900,,,,
006040,동원산업,사업장,수산,"6,769",99,B,A,A,C
014820,동원시스템즈,업체,유리 및 유리제품 제조업,"264,278","4,458",B+,B+,A+,B
00None,동원페이퍼,사업장,"펄프, 종이 및 판지 제조업","105,488","1,508",,,,
00None,동은단조,사업장,자동차,"34,576",717,,,,
004890,동일산업,업체,1차 철강 제조업,"231,725","2,822",C,C,D,B+
002690,동일제강,사업장,철강,"18,515",347,D,C,D,D
00None,동일팩키지,사업장,"펄프, 종이 및 판지 제조업","47,189",409,,,,
00None,동해시,사업장,폐기물,"18,802",8,,,,
00None,동호칼슘,사업장,석유화학,"18,229",284,,,,
025900,동화기업,사업장,나무제품 제조업,"138,621","2,700",D,D,C,D
00None,동화지앤피,사업장,유리,"22,290",343,,,,
00None,동희오토,사업장,자동차용 엔진 및 자동차 제조업,"40,971",827,,,,
034020,두산에너빌리티,업체,1차 철강 제조업,"235,252","4,498",B+,A,A,B
00None,두원중공업,사업장,일반 목적용 기계 제조업,"23,166",497,,,,
00None,디아이동일,사업장,비철금속,"19,058",396,,,,
00None,디아이지에어가스,업체,기초 화학물질 제조업,"844,157","17,586",,,,
00None,디에스파워,업체,"증기, 냉ㆍ온수 및 공기 조절 공급업","994,942","19,769",,,,
00None,디엘,업체,합성고무 및 플라스틱 물질 제조업,39,0,,,,
00None,디엘건설,사업장,건설,"28,938",525,,,,
00None,디엘모터스,사업장,자동차 신품 부품 제조업,"50,711","1,040",,,,
00None,디엘에프엔씨,사업장,플라스틱 제품 제조업,"22,822",472,,,,
00None,디엘이앤씨,업체,건설,"53,238","1,015",,,,
00None,디엘케미칼,업체,합성고무 및 플라스틱 물질 제조업,"236,065","4,532",,,,
00None,디케이동신,사업장,1차 철강 제조업,"27,447",508,,,,
00None,롯데건설,업체,건설,"52,420","1,031",,,,
032350,롯데관광개발,사업장,일반 및 생활 숙박시설 운영업,"32,367",666,D,D,D,D
00None,롯데글로벌로지스,사업장,도로 화물 운송업,"60,296","1,166",,,,
00None,롯데네슬레코리아,사업장,기타 식품 제조업,"29,848",617,,,,
00None,롯데물산,사업장,부동산 임대 및 공급업,"40,273",773,,,,
00None,롯데베르살리스엘라스토머스,사업장,합성고무 및 플라스틱 물질 제조업,"143,286","2,715",,,,
023530,롯데쇼핑,업체,종합 소매업,"717,398","14,600",A,A,A+,A
020150,롯데에너지머티리얼즈,사업장,전자 부품 제조업,"98,944","2,153",C,B,B+,C
00None,롯데엠시시,업체,기초 화학물질 제조업,"285,111","2,777",,,,
280360,롯데웰푸드,업체,기타 식품 제조업,"206,189","4,235",A,A,A,A
00None,롯데이네오스화학,업체,기초 화학물질 제조업,"250,209","3,472",,,,
004000,롯데정밀화학,업체,기초 화학물질 제조업,"677,663","15,626",A,A,A+,A
00None,롯데지에스화학,사업장,석유화학,"126,466","1,959",,,,
00None,롯데칠성음료,업체,비알코올 음료 및 얼음 제조업,"155,782","2,923",,,,
00None,롯데컬처웍스,업체,건물,"49,958","1,000",,,,
011170,롯데케미칼,업체,기초 화학물질 제조업,"5,902,878","113,070",A,A,A+,B+
00None,롯데패키징솔루션즈,업체,기계,"54,112","1,034",,,,
00None,르노코리아,사업장,자동차용 엔진 및 자동차 제조업,"65,292","1,369",,,,
00None,리뉴랜드경주,업체,폐기물 처리업,"111,733",31,,,,
00None,리뉴에너지경기,사업장,폐기물 처리업,"56,518",90,,,,
00None,리뉴에너지경북,사업장,폐기물 처리업,"70,426",205,,,,
00None,리뉴에너지그린,사업장,폐기물 처리업,"53,590",40,,,,
00None,리뉴에너지대원,사업장,폐기물 처리업,"67,197",378,,,,
00None,리뉴에너지새한,사업장,폐기물 처리업,"82,836",135,,,,
00None,리뉴에너지충북,업체,폐기물 처리업,"191,548",211,,,,
00None,리뉴에너지충청,사업장,폐기물 처리업,"58,486",126,,,,
00None,린데코리아,업체,기초 화학물질 제조업,"938,587","18,818",,,,
00None,마이크로소프트5673코리아,사업장,"자료 처리, 호스팅, 포털 및 기타 인터넷 정보 매개 서비스업","62,662","1,309",,,,
001080,만호제강,사업장,1차 철강 제조업,"34,404",700,D,C,D,D
00None,매그나칩반도체,업체,반도체 제조업,"82,292","1,394",,,,
267980,매일유업,사업장,낙농제품 및 식용 빙과류 제조업,"110,178","2,196",A,A,A+,A
00None,명화공업,사업장,자동차 신품 부품 제조업,"39,957",817,,,,
070960,모나용평,사업장,일반 및 생활 숙박시설 운영업,"34,759",693,D,C,D,D
00None,목포시,사업장,폐기물 처리업,"57,706",375,,,,
00None,무림에스피,사업장,"펄프, 종이 및 판지 제조업","47,064",950,,,,
00None,무림파워텍,업체,"증기, 냉ㆍ온수 및 공기 조절 공급업","164,636","2,228",,,,
009200,무림페이퍼,업체,"펄프, 종이 및 판지 제조업","179,950","3,523",B+,A,B+,B+
00None,무림피앤피,업체,"펄프, 종이 및 판지 제조업","252,175","13,867",,,,
00None,무안군,사업장,폐기물,"17,472",110,,,,
095500,미래나노텍,사업장,전기전자,"32,578",572,C,C,B,D
002840,미원상사,사업장,석유화학,"64,934","1,197",C,C,D,C
00None,미원스페셜티케미칼,사업장,기초 화학물질 제조업,"73,595","1,432",,,,
00None,밀양시,사업장,폐기물,"5,039",5,,,,
00None,바스프퍼포먼스폴리아마이드코리아,사업장,기초 화학물질 제조업,"71,387","1,625",,,,
00None,버슘머트리얼즈피엠코리아,사업장,기초 화학물질 제조업,"19,678",410,,,,
00None,범일운수,사업장,교통(여객),"16,294",307,,,,
00None,베올리아워터코리아대산,사업장,수도업,"89,082","1,859",,,,
00None,베페사징크코리아,사업장,1차 비철금속 제조업,"106,400",150,,,,
00None,보령시,사업장,폐기물 처리업,"51,879",312,,,,
00None,보령엘엔지터미널,사업장,연료용 가스 제조 및 배관공급업,"60,929","1,229",,,,
00None,보영운수,사업장,교통(여객),"12,874",230,,,,
00None,보임열병합발전,업체,"증기, 냉ㆍ온수 및 공기 조절 공급업","910,533","9,795",,,,
00None,볼보그룹코리아,사업장,기계,"16,157",318,,,,
00None,부경산업,사업장,폐기물 처리업,"65,958",132,,,,
00None,부산광역시,업체,폐기물 처리업,"745,005","8,114",,,,
00None,부산교통공사,업체,육상 여객 운송업,"157,182","3,280",,,,
00None,부산그린에너지,사업장,발전에너지,"123,447",0,,,,
00None,부산그린파워,사업장,폐기물 처리업,"35,650",12,,,,
00None,부산대학교,사업장,건물,"28,575",648,,,,
00None,부산대학교병원,사업장,건물,"39,331",819,,,,
00None,부산신항국제터미널,사업장,기타 운송관련 서비스업,"29,880","1,822",,,,
00None,부산신항만,사업장,기타 운송관련 서비스업,"51,412","1,018",,,,
00None,부산정관에너지,사업장,"증기, 냉ㆍ온수 및 공기 조절 공급업","70,101","1,396",,,,
005030,부산주공,사업장,자동차 신품 부품 제조업,"87,529","1,637",C,C,C,C
00None,부산패션칼라산업협동조합,업체,"증기, 냉ㆍ온수 및 공기 조절 공급업","115,889","1,636",,,,
00None,부천시,업체,"하수, 폐수 및 분뇨 처리업","162,602","1,595",,,,
00None,브리티쉬아메리칸토바코코리아제조,사업장,담배제조업,"17,936",462,,,,
00None,브이피에이치메탈유한,사업장,자동차 신품 부품 제조업,"30,954",574,,,,
00None,비노텍,사업장,폐기물 처리업,"107,519",63,,,,
00None,비를라카본코리아,업체,기초 화학물질 제조업,"124,148",488,,,,
00None,비테스코테크놀로지스코리아,사업장,자동차,"17,339",357,,,,
00None,빛고을에코에너지,사업장,발전에너지,"51,369",0,,,,
00None,사천시,사업장,지정외 폐기물처리업 등,"33,583",128,,,,
00None,사회복지법인삼성생명공익재단,사업장,병원,"85,651","1,757",,,,
00None,삼강에스앤씨,사업장,선박 및 보트 건조업,"18,197",324,,,,
00None,삼남석유화학,업체,기초 화학물질 제조업,"185,782","2,416",,,,
018310,삼목에스폼,업체,1차 비철금속 제조업,"32,565",598,,,,
012210,삼미금속,사업장,철강,"15,867",322,,,,
009620,삼보산업,사업장,1차 비철금속 제조업,"34,132",523,,,,
00None,삼성디스플레이,업체,전자 부품 제조업,"4,000,544","60,771",,,,
028260,삼성물산,사업장,건물 건설업,"93,059","2,036",A,A,A+,A
207940,삼성바이오로직스,사업장,기초 의약 물질 및 생물학적 제제 제조업,"226,519","4,651",A,A,A+,A
00None,삼성생명보험,업체,건물,"60,113",763,,,,
00None,삼성에스디아이,업체,일차전지 및 축전지 제조업,"572,209","11,818",,,,
018260,삼성에스디에스,사업장,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","173,674","3,622",A,B+,A+,A
009150,삼성전기,업체,전자 부품 제조업,"456,652","9,783",A,A,A+,A
005930,삼성전자,업체,반도체 제조업,"13,594,735","258,326",B+,B+,A,B
010140,삼성중공업,업체,선박 및 보트 건조업,"528,395","9,155",A,A,A,B+
00None,삼성코닝어드밴스드글라스유한,사업장,유리 및 유리제품 제조업,"49,859","1,017",,,,
00None,삼신정밀,사업장,철강,"25,602",527,,,,
006110,삼아알미늄,사업장,비철금속,"20,535",399,C,C,D,C
003230,삼양식품,사업장,기타 식품 제조업,"72,404","1,497",A,A,A+,A
00None,삼양이노켐,사업장,기초 화학물질 제조업,"99,485","1,777",,,,
00None,삼양화성,사업장,합성고무 및 플라스틱 물질 제조업,"80,044","1,853",,,,
00None,삼양화인테크놀로지,사업장,합성고무 및 플라스틱 물질 제조업,"31,163",364,,,,
00None,삼영운수,사업장,육상 여객 운송업,"20,143",372,,,,
00None,삼영전자공업,업체,기타 금속 가공제품 제조업,"29,094",668,,,,
009770,삼정펄프,업체,"펄프, 종이 및 판지 제조업","143,169","1,912",D,C,D,D
00None,삼지금속공업,사업장,비철금속,"17,930",193,,,,
038500,삼표시멘트,업체,"시멘트, 석회, 플라스터 및 그 외 제품 제조업","4,998,174","31,009",A,A,A+,A
00None,삼표자원개발,사업장,토사석 광업,"29,506",524,,,,
00None,삼표해운,사업장,해상 운송업,"70,239",969,,,,
00None,삼호제강,사업장,철강,"12,712",255,,,,
004450,삼화왕관,사업장,기계,"19,197",387,C,C,D,C
00None,삼화제지,업체,"펄프, 종이 및 판지 제조업","28,988",624,,,,
00None,삼화콘덴서공업,사업장,전기전자,"25,292",527,,,,
00None,삼흥열처리,사업장,기타 금속 가공제품 제조업,"30,191",622,,,,
00None,상지해운,사업장,교통(해운),"19,349",266,,,,
075180,새론오토모티브,사업장,자동차,"15,659",317,D,C,D,D
00None,새한특수,사업장,교통(화물),"16,865",239,,,,
00None,생고뱅이소바코리아,사업장,유리 및 유리제품 제조업,"38,864",774,,,,
00None,서산시,사업장,하수처리업,"20,284",210,,,,
00None,서영주정,사업장,알코올 음료 제조업,"30,156",412,,,,
00None,서울교통공사,업체,육상 여객 운송업,"650,164","13,575",,,,
00None,서울교통네트웍,사업장,교통(여객),"13,583",259,,,,
00None,서울냉열,사업장,석유화학,"17,063",356,,,,
00None,서울대학교병원,사업장,병원,"92,838","1,935",,,,
092190,서울바이오시스,사업장,반도체 제조업,"61,646","1,276",,,,
00None,서울시메트로9호선,사업장,육상 여객 운송업,"53,211","1,109",,,,
00None,서울에너지공사,업체,"증기, 냉ㆍ온수 및 공기 조절 공급업","300,444","6,361",,,,
00None,서울우유협동조합,업체,낙농제품 및 식용 빙과류 제조업,"73,904","1,415",,,,
00None,서울특별시,업체,폐기물 처리업,"1,360,897","13,003",,,,
00None,서울특별시농수산식품공사,사업장,부동산 임대 및 공급업,"63,908","1,328",,,,
00None,서진산업,사업장,자동차,"16,623",317,,,,
00None,서한이앤피,사업장,기타 금속 가공제품 제조업,"57,373","1,141",,,,
00None,서해그린환경,사업장,폐기물 처리업,"93,483",212,,,,
00None,선도화학,사업장,기초 화학물질 제조업,"23,759",496,,,,
00None,선진버스,사업장,육상 여객 운송업,"17,365",321,,,,
00None,성남시,업체,폐기물 처리업,"243,032","2,335",,,,
00None,성남시내버스,사업장,육상 여객 운송업,"24,814",477,,,,
00None,성림유화,업체,폐기물 처리업,"255,697",216,,,,
00None,성보공업,사업장,철강,"15,007",292,,,,
00None,성신씨엠,사업장,"시멘트, 석회, 플라스터 및 그 외 제품 제조업","16,848",344,,,,
004980,성신양회,업체,"시멘트, 석회, 플라스터 및 그 외 제품 제조업","4,072,874","22,552",C,B+,A,D
00None,성안합섬,사업장,화학섬유 제조업,92,1,,,,
00None,성우해운,사업장,교통(해운),"20,467",281,,,,
00None,성일요업,사업장,요업,"18,605",323,,,,
365340,성일하이텍,사업장,1차 비철금속 제조업,"26,083",440,C,C,C,C
00None,성창보드,사업장,나무제품 제조업,"30,386",619,,,,
00None,성훈엔지니어링,사업장,1차 비철금속 제조업,"39,339",784,,,,
00None,세메스,사업장,특수 목적용 기계 제조업,"41,805",727,,,,
004360,세방,사업장,도로 화물 운송업,"27,838",436,C,B,C,C
004490,세방전지,업체,일차전지 및 축전지 제조업,"147,941","3,054",C,C,C,C
00None,세종특별자치시,사업장,"하수, 폐수 및 분뇨 처리업","53,883",595,,,,
068270,셀트리온,사업장,기초 의약 물질 및 생물학적 제제 제조업,"79,174","1,656",A,A,A+,A
00None,셰플러코리아,사업장,일반 목적용 기계 제조업,"71,392","1,480",,,,
00None,소신여객자동차,사업장,육상 여객 운송업,"15,756",310,,,,
00None,속초시,사업장,폐기물,"35,408",290,,,,
00None,솔베이실리카코리아,사업장,기초 화학물질 제조업,"35,404",757,,,,
357780,솔브레인,사업장,석유화학,"48,230","1,092",B+,B+,A+,B
00None,솔브레인에스엘디,사업장,전자 부품 제조업,"30,391",579,,,,
004430,송원산업,업체,기타 화학제품 제조업,"143,654","2,913",C,B+,B+,D
00None,송학제지,사업장,"펄프, 종이 및 판지 제조업",50,0,,,,
00None,수도권매립지관리공사,업체,폐기물 처리업,"1,006,395","4,386",,,,
00None,수양물류,사업장,육상운송 및 파이프라인 운송업,"24,132",343,,,,
00None,수완에너지,업체,"증기, 냉ㆍ온수 및 공기 조절 공급업","158,941","3,154",,,,
00None,수원시,업체,폐기물 처리업,"194,918","2,255",,,,
00None,수원애경역사,사업장,건물,"14,845",306,,,,
00None,수원여객운수,사업장,육상 여객 운송업,"19,546",386,,,,
00None,수협노량진수산,사업장,건물,"16,654",347,,,,
00None,순천시,사업장,"하수, 폐수 및 분뇨 처리업","57,853",436,,,,
00None,스미토모세이카폴리머스코리아,사업장,합성고무 및 플라스틱 물질 제조업,"34,627","1,508",,,,
00None,스테코,사업장,전자 부품 제조업,"42,075",876,,,,
00None,스템코,사업장,반도체 제조업,"48,982","1,046",,,,
00None,스틸싸이클,사업장,1차 비철금속 제조업,"78,531",803,,,,
00None,스틸싸이클에스씨,사업장,1차 비철금속 제조업,"5,884",80,,,,
033170,시그네틱스,사업장,반도체 제조업,"34,225",710,C,C,C,C
00None,시흥시,사업장,폐기물 처리업,"99,448","1,020",,,,
016590,신대양제지,업체,"펄프, 종이 및 판지 제조업","241,875","2,987",D,C,D,D
00None,신대양제지반월,사업장,"펄프, 종이 및 판지 제조업","119,528","1,466",,,,
00None,신대일페이퍼,사업장,"펄프, 종이 및 판지 제조업","85,611",904,,,,
00None,신대한정유산업,사업장,폐기물 처리업,"96,976",253,,,,
00None,신도림테크노마트,사업장,건물,"15,253",316,,,,
00None,신분당선,사업장,육상 여객 운송업,"26,382",550,,,,
00None,신선대감만터미널,사업장,항만,"47,455",886,,,,
00None,신성교통,사업장,육상 여객 운송업,"10,449",194,,,,
00None,신안종합리조트,사업장,건물,"16,252",326,,,,
00None,신창제지공업,사업장,"펄프, 종이 및 판지 제조업","23,065",556,,,,
